NE_Amp,ACh_Amp,NE_Lag,ACh_Lag
0.0642659713464974,0.163256822237255,-0.7,-0.3
0.0285124773955346,0.147749988582799,-0.1,-0.4
0.0065212953287312,0.00698090328110113,-0.8,-0.5
0.117393930497031,0.148579045768652,-0.5,-0.2
0.0836236119153141,0.1838907930256,-0.6,-0.3
0.0268124154393304,0.0636147295580433,-0.6,-0.4
0.102598193554932,0.184628169039902,-0.7,-0.1
0.147376054502179,0.186764943711808,-0.6,-0.1
0.0862204722513301,0.153542506781276,-0.5,-0.1
0.199295821368554,0.2386670575509,-0.6,-0.3
0.141801444403828,0.203693382018618,-0.6,-0.4
0.12314853262103,0.0741895369277178,-0.5,-0.1
0.14896693137152,0.0973663350607879,-0.4,-0.2
0.166899842857256,0.263557654891259,-0.5,-0.1
0.029078511610099,0.337738712538916,-1.1,-0.3
0.0141601367248601,0.0657851429336831,-0.4,-0.1
0.00232816870774292,0.125978118988228,-0.6,-0.3
0.0190335370519871,0.123306707561761,-0.8,-0.5
0.0019539611187678,0.145327513410152,-0.4,-0.2
