ACh_FAIL,ACh_SUCC,NE_FAIL,NE_SUCC
-0.11644916078768,-0.150907443314162,-0.0738609030992146,-0.0507652943695347
-0.148787342528375,-0.0403701962521678,-0.0718538771515124,-0.0597095638488788
-0.172893640854953,-0.318332669154857,-0.138770109490984,-0.11825738363051
-0.53069085140335,-0.231879096420584,-0.159942308019648,-0.0685276933720343
-0.513997479261357,-0.239715224012882,-0.207202486395846,-0.0925471024026793
-0.478944757408735,-0.242429236510365,-0.0823600296276315,-0.0644696689201967
-0.330525363341739,-0.120983492451561,-0.0593455450053538,-0.0684468444801899
-0.368966771232907,-0.234294902853263,-0.0108972942482266,-0.0653166928125354
-0.439098539084393,-0.0547917395523043,-0.0254760062885416,-0.0222836139778362
-0.361928563597053,-0.192162848674426,-0.0264630626329426,-0.0103838063471371
-0.334219021588527,0.136200621117533,-0.0166458998780356,-0.0254449999515097
0.0935713376018868,-0.256832227247502,0.131872391632386,-0.0386620638312033
-0.525466773179475,-0.107996360147909,-0.041963773957263,-0.0269689182774857
-0.380889123157097,0.166594344928215,-0.0107467560727174,0.034935917087393
-0.489876105852471,-0.0973461176047366,-0.000978942899407836,-0.0417377039768388
-0.0838657618806767,-0.0369756808016545,-0.0944408300312838,-0.091844599623652
-0.107864946289536,-0.0448613791116659,-0.0195176577263979,0.0143220556250372
-0.222618377681334,-0.0783911569433308,-0.0729286334662395,-0.01773928298033
-0.18473743032257,-0.0753367365633984,-0.00418432264013115,0.0314076431266126
-0.181653572320113,-0.018663881000968,0.0143288617439407,0.0495439816280625
-0.164150640071879,-0.0790618535120103,-0.0490461145245724,0.0228671762912506
-0.192210966356304,-0.280899466001782,-0.155956609855168,-0.313194581435098
-0.465913573649462,-0.169171750857329,-0.123435895899165,-0.0269736731801053
-0.380912546434961,-0.387249694494639,-0.109032231497788,-0.232254086628055
-0.105020260249893,-0.141896583603873,0.115726218458419,-0.0978785021776531
-0.127790959959732,0.0328831196036433,0.0387006870578289,-0.0625550613987064
-0.116850847408293,-0.0219712000303577,0.0094871520631836,-0.0402035799390674
-0.0900758547250524,-0.110101943097063,-0.00852188636665469,-0.158214799723536
-0.11812896116541,-0.194613513377605,-0.0524386526234597,-0.165926234615531
-0.246836405576526,-0.151136605233797,-0.083216333961453,-0.0784639145870854
-0.365458202567438,-0.322604700269243,-0.102562597329149,-0.237237014076278
-0.505952465223793,-0.341964098166085,-0.172176353386093,-0.081379551441542
-0.517365734213596,-0.629298581148168,-0.194510975456985,-0.224636729922761
-0.808841376564715,-0.32202800844955,-0.409273850206009,-0.246838325713605
-0.970277846955556,-0.301989800776331,-0.551475096782054,-0.215068818432283
-0.574145748766746,-0.0527675115135461,-0.402620264666732,-0.199735132522381
-0.751688240429291,-0.139859331284723,-0.458338333144217,-0.260152696363934
-0.33567584762036,-0.29549554195683,-0.303501767835698,-0.197704386775515
-0.823658446550011,-0.305528137929199,-0.539244790430931,-0.242387390359731
-0.792001762654682,-0.396873979676829,-0.46684400165857,-0.293093705793769
-1.06491583930153,-0.354536141965332,-0.634603595418933,-0.20877964834977
-1.14210091651823,-0.528314974646543,-0.635626475608965,-0.400593471173207
