ACh,NE
-0.35,-0.766666666666667
-0.3,-0.05
-0.2,-0.6
-0.25,-0.258333333333333
-0.675,-0.566666666666667
-0.158333333333333,-0.566666666666667
-0.316666666666667,-0.791666666666667
-0.641666666666667,-0.875
-0.558333333333333,-0.575
-0.758333333333333,-0.933333333333333
-0.375,-0.783333333333333
-0.383333333333333,-0.866666666666667
-0.65,-0.533333333333333
-0.366666666666667,-0.55
-0.341666666666667,-0.258333333333333
-0,-0.0333333333333333
-0.333333333333333,-0.4
-0.716666666666667,-0.85
-0.258333333333333,-0.3
