ACh_Amp_FAIL,ACh_Amp_SUCC,NE_Amp_FAIL,NE_Amp_SUCC,ACh_PeakLat_FAIL,ACh_PeakLat_SUCC,NE_PeakLat_FAIL,NE_PeakLat_SUCC
0.261130587523071,0.169572319354365,0.433158310004032,0.202267471431809,0.375,0.408333333333333,0.375,0.483333333333333
0.203917820213807,0.0798444748917113,0.158863942025764,0.0492531633656166,0.575,0.225,0.591666666666667,0.408333333333333
0.221086576973104,0.122044213306063,0.217371757886467,0.162636107281161,0.35,0.65,0.716666666666667,0.716666666666667
0.15563525147688,0.0900602169187127,0.181397569949234,0.099707721678768,0.408333333333333,0.516666666666667,0.341666666666667,0.308333333333333
0.204991708420789,0.195055145879065,0.211534763872704,0.0859503664254633,0.45,0.691666666666667,0.383333333333333,0.383333333333333
0.00733204877214022,0.142444252866852,0.090545578223534,0.13045058058822,0.741666666666667,0.383333333333333,0.675,0.0166666666666667
0.546291896302943,0.533401743040389,0.391281798378509,0.436247181710593,0.491666666666667,0.65,0.475,0.466666666666667
0.580592939636676,0.636453332003041,0.3986626722394,0.584162346840901,0.45,0.6,0.433333333333333,0.508333333333333
0.644374275167842,0.716569669324068,0.531295836396624,0.551147234120384,0.858333333333333,0.891666666666667,0.575,0.716666666666667
0.549101224801496,0.734936877422435,0.911919640772542,0.880873655205101,0.416666666666667,0.625,0.258333333333333,0.366666666666667
1.01997074816848,0.990240617526491,1.02650220698952,1.10535029258816,0.291666666666667,0.283333333333333,0.283333333333333,0.283333333333333
0.788943511017107,0.748810253648048,0.949569698043781,0.777431392310196,1.00833333333333,1.01666666666667,0.75,0.733333333333333
0.558561538298257,0.558687217142629,1.17108132611897,1.26832165806967,0.366666666666667,0.375,0.291666666666667,0.308333333333333
0.39845337829249,0.500669885852471,0.437374769438132,0.394870509858637,0.558333333333333,0.775,0.558333333333333,0.425
1.10829956358403,0.85988226934995,0.778270580065548,0.701481946733741,0.408333333333333,0.475,0.308333333333333,0.308333333333333
0.139025271605098,0.208069021503132,0.230991267461834,0.221320160901503,0.416666666666667,0.483333333333333,0.475,0.241666666666667
0.339320427058354,0.307956019142762,0.346009027459898,0.325171050872241,0.541666666666667,0.291666666666667,0.266666666666667,0.483333333333333
0.237860417917668,0.183716969274956,0.172897529882537,0.179735914237619,0.333333333333333,0.15,0.208333333333333,1.01666666666667
0.38761562216587,0.142127790846892,0.45808409374358,0.0959302768241944,0.4,0.125,0.0666666666666667,0.166666666666667
