FAIL,SUCC
0.222222222222222,0.175
0.3,0.163120567375887
0.2,0.114942528735632
0.245614035087719,0.137566137566138
0.214285714285714,0.155172413793103
0.282051282051282,0.139455782312925
0.188405797101449,0.140350877192982
0.150537634408602,0.138461538461538
0.158536585365854,0.144444444444444
0.210526315789474,0.127272727272727
0.179487179487179,0.135964912280702
0.188034188034188,0.157407407407407
0.14367816091954,0.126721763085399
0.239316239316239,0.151515151515152
0.236111111111111,0.131147540983607
0.219047619047619,0.116959064327485
0.259259259259259,0.166666666666667
0.206349206349206,0.13265306122449
0.113821138211382,0.112820512820513
0.175757575757576,0.183333333333333
0.26984126984127,0.155555555555556
0.183333333333333,0.161172161172161
0.184210526315789,0.105072463768116
0.213333333333333,0.164912280701754
0.230769230769231,0.135313531353135
0.2,0.146953405017921
0.22,0.166666666666667
0.195238095238095,0.153846153846154
0.154761904761905,0.119791666666667
0.208333333333333,0.146341463414634
0.222222222222222,0.155202821869489
0.243589743589744,0.120689655172414
0.238095238095238,0.148459383753501
0.166666666666667,0.138888888888889
