ACh_FAIL,ACh_SUCC,NE_FAIL,NE_SUCC
-0.212036134595382,-0.347067330043721,-0.047285396595809,-0.102223160981922
-0.59146255128818,-0.225667197269533,-0.0497725887893806,-0.0347263892793881
-0.0517999401675811,-0.0340660930185322,-0.011477298974892,-0.0320477113020745
-0.457696280657307,-0.280759138578513,-0.281130293951368,-0.171649666716995
-0.324719889430163,-0.237677132731204,-0.0953906122105996,-0.0550506169874393
-0.408488336254126,-0.348054804679523,-0.0634412767201977,-0.0720368246888938
-0.258663409126806,-0.302151849621499,-0.0605383089133745,-0.135189147720386
-0.620297212450075,-0.283584809648156,-0.478983313633927,-0.227505399816024
-0.30492252635145,-0.29807272837885,-0.0461888644918936,-0.114828060616143
-0.521390843026898,-0.322387895649066,-0.315890035958312,-0.219633424578293
-0.543305408875538,-0.388541902344206,-0.266405651665104,-0.193120866584945
-0.181184796701926,0.0105708788363871,-0.328633270371527,-0.188358110839734
-0.267224668787947,-0.323476456086443,-0.34983085534234,-0.237656148542668
-0.498220362772584,-0.291779557104033,-0.21530079130363,-0.126857670092894
-0.768798891022271,-0.429845865752087,-0.338596782156861,-0.124964952377802
-0.171753384251827,-0.00977191257546983,-0.104649391481725,-0.0333510466502886
-0.251778664419942,-0.12781139190469,-0.149882938860007,-0.0532829001337247
-0.309105566628701,-0.0567158786276373,-0.0987007113732318,0.000960148003295237
-0.20931068547435,-0.140029164589955,-0.00308293221550772,-0.0151482829345989
