ACh_FAIL,ACh_SUCC,NE_FAIL,NE_SUCC
-0.272574330574134,-0.328462554026003,-0.176999099714855,-0.0984470075379447
-0.340211927369567,-0.376214531450196,-0.106317497656049,-0.121770530704915
-0.260421250402271,-0.35567418749817,-0.0909874093635076,-0.0880576371152798
-0.379940361314153,-0.317483741521494,0.00607412933455406,-0.0797045188150422
-0.0626640114361609,-0.366881338337974,0.0243942364810308,-0.108598199836178
0.0435950735239964,-0.337687627428488,0.0601232613439723,-0.116761071882169
-0.387582636361176,-0.154774651665134,-0.0300634551432042,-0.0399295865583532
-0.471466171920177,-0.288055802202264,-0.0381735116328325,-0.0930692595532416
-0.523014726338417,-0.238099305175925,-0.060622062806114,0.00307575625840968
-0.898066767462439,-0.341451163706059,-0.118021849898495,-0.00938868438500363
-0.532642037694798,-0.272125568133651,-0.0131621995822986,-0.027286059854609
-0.565216122821408,-0.132285283859464,-0.0603105489451898,-0.0070764270953979
-0.76224939641885,-0.152878606144232,-0.0280544935175293,-0.0694104637675211
-0.101491501746836,-0.049695879123326,0.0575588956632085,0.0554928251067321
-0.0396435778880611,-0.0362908802617889,-0.0228143832586035,-0.0938087350793108
-0.0363953353301081,-0.0215098989817498,-0.0593903614506983,-0.048349103567207
-0.0265021025356887,-0.0196027785261631,-0.0168819066317847,-0.0268281756554824
-0.0549671833372113,-0.0432310281996332,-0.0158587391965817,-0.0467453673151043
-0.176616577713256,-0.149735360102131,-0.0222684333115269,0.0268412958277854
-0.00626242648315645,-0.204861886787736,0.0558147626075765,-0.134391344947433
-0.243110186714523,-0.239545121966527,-0.0394595882273166,-0.134496262642688
-0.259243910182571,-0.376417596249309,0.0166318826803405,-0.124798373581959
-0.102379175116974,-0.28412590160888,-0.052953737800522,-0.120728669025088
-0.446758793917983,-0.442381651900728,-0.159292719861688,-0.223505894324791
-0.394617889970133,-0.446259114834163,-0.214698231525278,-0.202284620461911
-0.440318312915854,-0.273888163522518,-0.0680804058685816,-0.168149312607002
-0.845851596960268,-0.292468258525927,-0.559530773873786,-0.213008143005632
-0.701004791883454,-0.346285804150026,-0.408820062508284,-0.233248472112302
-0.392128047157064,-0.307039159050012,-0.525725173840964,-0.28914976650248
-0.665524545077795,-0.279779479886834,-0.516862192193207,-0.275093796722899
-0.727677175483002,-0.22259036337408,-0.83722271145733,-0.225438399513365
-0.574663371334372,-0.294890638039416,-0.480648053463161,-0.307799298982642
-0.831095884412323,-0.293132410085901,-0.617257027728113,-0.287254817549695
-0.334279612106944,-0.234806147631749,-0.133777027856111,-0.182447965300419
-0.51044988763545,-0.281271026089455,-0.231006799784389,-0.0341079386547808
