ACh_Sal,ACh_CNO,NE_Sal,NE_CNO
0.518372695376382,0.520087544191863,0.525032901869409,0.498840326912302
0.518687810038784,0.516277383891204,0.52475997669468,0.498337921450654
0.518394715463382,0.514931758361071,0.526312327634613,0.493446241498985
0.516362320134872,0.503887887347506,0.529678384005162,0.489285218640525
0.512491211703151,0.502301591807137,0.534167192746013,0.493377623903605
0.509732597961817,0.501393399687824,0.53842075060947,0.500939176111208
0.505571908558105,0.501013006266204,0.537587830078667,0.493139510649465
0.502491382009697,0.502514853206522,0.534896346061112,0.493188482859896
0.49923459479164,0.501072732914889,0.530550898797009,0.495560143504509
0.49796211771167,0.51068513871691,0.526516185766094,0.495960948328162
0.498321661818481,0.517267277602796,0.521241043002582,0.491359308541041
0.499964079887108,0.51721554830383,0.514883385631351,0.494089975878236
0.500643323612858,0.526135229042412,0.508094616737048,0.501922271836748
0.502350888312781,0.530774889914898,0.502855839766387,0.504933910560625
0.505210272641347,0.53569670971797,0.498232920626394,0.511768977670016
0.505185519633108,0.543146574980942,0.49898450369124,0.506541619568939
0.503824781689012,0.550980751248007,0.498833515400846,0.503945028397675
0.501553066348404,0.555405943156012,0.49807142960875,0.494384754018226
0.501499894890373,0.559335337913445,0.497476459804343,0.489902536176472
0.502949278398695,0.534109657777611,0.498884611630182,0.485585428109244
0.505131900162179,0.531784902382771,0.497268187665445,0.501589435183559
0.507500260829385,0.526335210779888,0.495312438380187,0.505634991608802
0.50963580993079,0.519503154362309,0.493231011099797,0.506663518333293
0.51192703828687,0.516664487480363,0.49016970203787,0.503054290482175
0.511762384144201,0.514925762812067,0.49065790289062,0.498606399666164
0.512567920283539,0.511975805595875,0.490015593637174,0.499162820197842
0.516790477127238,0.50807476824081,0.486225343134318,0.509536920234398
0.519673868725804,0.503421854788168,0.484237013503838,0.514484662084727
0.519074292059186,0.498716203671367,0.480837078310784,0.511808078496449
0.52043951760301,0.494740050578282,0.477460348295327,0.509868080313204
0.521136631138086,0.493239456846191,0.475836042872182,0.499009807154344
0.522407430097432,0.489754787479812,0.475750172823087,0.494125047711695
0.521307180076418,0.490348707363317,0.478315574283903,0.48504909168031
