ACh,NE
0.467763200666971,0.48026192893078
0.636894899960973,0.501719386853229
0.519352652955327,0.487890339168832
0.56866380453444,0.559379229540762
0.534345615752407,0.519006291881886
0.52629988871012,0.499686402551608
0.473149831817164,0.463122783214016
0.616805515786431,0.596496591361635
0.498819022522256,0.4567323693393
0.581452696307683,0.530407295245208
0.562132326654535,0.531946744083577
0.556590973147839,0.535742922412731
0.476634635347185,0.544650123962108
0.572414494340564,0.559470391844119
0.612712617576867,0.623558770886003
0.610459277628716,0.553979628680171
0.573299638505671,0.560892594391243
0.628201850381518,0.577462139759667
0.554035512567273,0.488864698054519
